host_total_listings_count;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;property_type;accommodates;bathrooms;bedrooms;beds;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;cancellation_policy;reviews_per_month;high_value_amenities;standard_value_amenities;basic_amenities;summary_length;description_length;days_since_first_review;days_since_last_review;room_type_private_room;room_type_shared_room;bed_type_couch;bed_type_futon;bed_type_pullout_sofa;bed_type_real_bed;square_meters
2.0;aluche;puerta del angel;latina;madrid;comunidad de madrid;28011;madrid;madrid spain;es;spain;40.41120261254829;-3.728247701662811;apartment;2;1.0;1.0;1.0;3.218875824868201;;;;;1;0;2;10;0;0;0;0;92;88.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;5.49;1;0;2;77;169;3254.0;2759.0;True;False;False;False;False;True;24.990907
1.0;;almagro;chamber;madrid;comunidad de madrid;28010;madrid;madrid spain;es;spain;40.42860107421828;-3.6953068634725335;apartment;5;2.0;2.0;2.0;4.59511985013459;;;190.0;40.0;2;32;2;1125;2;8;10;244;3;93.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;3.0;2;2;2;93;179;2776.0;2759.0;False;False;False;False;False;True;74.97272099999999
207.0;la sagrada famlia;la sagrada famlia;eixample;barcelona;catalunya;08025;barcelona;barcelona spain;es;spain;41.40333666420401;2.1736309047665303;apartment;5;1.0;1.0;2.0;4.61512051684126;;;;;1;0;2;1125;0;2;2;2;2;80.0;8.0;8.0;8.0;10.0;8.0;10.0;strict;0.38;1;1;2;41;171;2909.0;2884.0;False;False;False;False;False;True;49.981814
8.0;embajadores;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.40883847114512;-3.692102313818492;apartment;2;1.0;1.0;1.0;3.4339872044851463;190.0;620.0;;;1;0;2;1125;6;10;38;302;127;89.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;4.55;0;1;3;40;35;3588.0;2767.0;True;False;False;False;False;True;24.990907
1.0;palos do moguer;palos de moguer;arganzuela;madrid;comunidad de madrid;28045;madrid;madrid spain;es;spain;40.40270346471492;-3.693301703610519;apartment;2;1.0;1.0;2.0;3.7612001156935615;;;;20.0;1;0;6;14;8;8;8;8;9;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.76;2;2;2;40;40;3105.0;2951.0;False;False;False;False;False;True;24.990907
2.0;;san fermn;usera;madrid;comunidad de madrid;28041;madrid;madrid spain;es;spain;40.3723984119823;-3.6917509959104993;apartment;2;1.0;1.0;2.0;3.4339872044851463;;;;10.0;1;0;2;15;0;25;48;224;5;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.79;3;4;3;93;93;2940.0;2819.0;True;False;False;False;False;True;24.990907
1.0;;sineu;;sineu;illes balears;07510;mallorca island;sineu spain;es;spain;39.64649709960085;2.9923119141077;house;8;1.0;3.0;6.0;4.51085950651685;;;;60.0;6;20;3;1125;17;43;73;348;0;;;;;;;;strict;;3;6;2;48;165;;;False;False;False;False;False;True;30.007669
2.0;argelles;casa de campo;moncloa  aravaca;madrid;comunidad de madrid;28008;madrid;madrid spain;es;spain;40.42130978131202;-3.72111672718467;apartment;7;1.0;1.0;3.0;4.262679877041316;;;100.0;30.0;2;17;1;1125;21;51;81;81;2;80.0;10.0;10.0;8.0;10.0;10.0;8.0;strict;0.22;2;5;2;86;86;3029.0;2767.0;False;False;False;False;False;True;22.482526
2.0;la latina;embajadores;centro;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.40861859519446;-3.708916473907103;apartment;3;1.0;1.0;2.0;4.110873864173311;;;;35.0;2;10;2;1125;9;19;28;119;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.0;0;3;2;81;81;2771.0;2764.0;False;False;False;False;False;True;44.965052
13.0;malasaa;universidad;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42185407684988;-3.701101421489505;apartment;14;2.0;4.0;5.0;5.525452939131784;;;200.0;69.0;9;10;2;1125;5;15;27;251;6;90.0;10.0;10.0;10.0;10.0;10.0;9.0;moderate;2.57;0;4;2;43;167;2821.0;2758.0;False;False;False;False;False;True;10.033524
2.0;;san isidro;carabanchel;madrid;comunidad de madrid;28019;madrid;madrid spain;es;spain;40.39239243370388;-3.7263076622596167;house;1;2.0;1.0;1.0;3.044522437723423;;;;;1;0;2;10;30;60;90;365;1;80.0;10.0;8.0;10.0;10.0;10.0;8.0;moderate;0.81;0;2;2;64;194;2788.0;2788.0;True;False;False;False;False;True;13.00642
4.0;puente de vallecas;entrevas;puente de vallecas;madrid;comunidad de madrid;28053;madrid;madrid spain;es;spain;40.38428056654867;-3.6701430988699344;apartment;9;1.0;3.0;7.0;4.653960350157523;;;300.0;;1;0;1;1125;3;3;21;126;8;86.0;10.0;9.0;10.0;9.0;9.0;9.0;strict;0.88;0;1;0;86;182;3024.0;2789.0;False;False;False;False;False;True;99.963628
2.0;;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.40865430341719;-3.704450211526166;apartment;4;1.0;1.0;2.0;4.262679877041316;;;150.0;30.0;2;10;3;6;17;47;74;315;6;97.0;10.0;9.0;10.0;10.0;9.0;9.0;strict;3.27;1;6;2;72;178;2806.0;2772.0;False;False;False;False;False;True;49.981814
1.0;palos do moguer;palos de moguer;arganzuela;madrid;comunidad de madrid;28045;madrid;madrid spain;es;spain;40.40537978135988;-3.692637642833776;house;11;2.0;4.0;4.0;4.564348191467836;;;150.0;50.0;5;15;3;1125;0;2;17;150;23;93.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;3.52;1;4;3;76;38;2947.0;2840.0;False;False;False;False;False;True;250.001973
1.0;ciudad lineal;quintana;ciudad lineal;madrid;comunidad de madrid;28027;madrid;madrid spain;es;spain;40.438018344042064;-3.6426647453805416;apartment;1;1.0;1.0;1.0;3.258096538021482;;;150.0;8.0;1;0;3;30;29;59;89;364;0;;;;;;;;moderate;;0;2;1;58;96;;;True;False;False;False;False;True;15.79351
1.0;;universidad;centro;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.42066408053813;-3.705658779118656;apartment;4;1.0;2.0;4.0;4.110873864173311;;;100.0;20.0;2;15;2;1125;6;13;19;145;10;98.0;10.0;10.0;9.0;10.0;10.0;10.0;strict;6.25;1;3;3;65;169;2799.0;2756.0;False;False;False;False;False;True;65.0321
4.0;;universidad;centro;madrid;community of madrid;;madrid;madrid spain;es;spain;40.42451891750951;-3.704195845582024;apartment;3;1.0;1.0;2.0;4.51085950651685;;;250.0;40.0;2;40;3;1125;8;33;63;64;161;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;3.29;0;3;3;0;158;4221.0;2758.0;False;False;False;False;False;True;44.965052
